fold_id,entity_id,trade_date,horizon,threshold_type,threshold_value,target_usage,baseline_family,baseline_name,score,score_available,feature_asof_date,event_label,future_mae,future_mdd,future_return
fold_1,industry:专业连锁Ⅱ,2014-01-13,1,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.012637211792097203,0.0,0.012637211792097203
fold_1,industry:专业连锁Ⅱ,2014-01-13,3,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.012637211792097203,0.01439115685130321,0.013239364724040525
fold_1,industry:专业连锁Ⅱ,2014-01-13,3,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.012637211792097203,0.01439115685130321,0.013239364724040525
fold_1,industry:专业连锁Ⅱ,2014-01-13,3,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.012637211792097203,0.01439115685130321,0.013239364724040525
fold_1,industry:专业连锁Ⅱ,2014-01-13,3,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.012637211792097203,0.01439115685130321,0.013239364724040525
fold_1,industry:专业连锁Ⅱ,2014-01-13,5,fixed,0.03,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0013616272715226696,0.02594499445115661,0.0013616272715226696
fold_1,industry:专业连锁Ⅱ,2014-01-13,5,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0013616272715226696,0.02594499445115661,0.0013616272715226696
fold_1,industry:专业连锁Ⅱ,2014-01-13,5,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0013616272715226696,0.02594499445115661,0.0013616272715226696
fold_1,industry:专业连锁Ⅱ,2014-01-13,5,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0013616272715226696,0.02594499445115661,0.0013616272715226696
fold_1,industry:专业连锁Ⅱ,2014-01-13,10,fixed,0.03,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0013616272715226696,0.02594499445115661,0.16613286816912787
fold_1,industry:专业连锁Ⅱ,2014-01-13,10,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0013616272715226696,0.02594499445115661,0.16613286816912787
fold_1,industry:专业连锁Ⅱ,2014-01-13,10,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0013616272715226696,0.02594499445115661,0.16613286816912787
fold_1,industry:专业连锁Ⅱ,2014-01-13,10,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0013616272715226696,0.02594499445115661,0.16613286816912787
fold_1,industry:专业连锁Ⅱ,2014-01-13,20,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0013616272715226696,0.0621191712557585,0.21976680226496703
fold_1,industry:专业连锁Ⅱ,2014-01-13,20,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0013616272715226696,0.0621191712557585,0.21976680226496703
fold_1,industry:专业连锁Ⅱ,2014-01-13,20,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0013616272715226696,0.0621191712557585,0.21976680226496703
fold_1,industry:专业连锁Ⅱ,2014-01-13,20,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0013616272715226696,0.0621191712557585,0.21976680226496703
fold_1,industry:专用设备,2014-01-13,1,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.0,0.030024221960132325
fold_1,industry:专用设备,2014-01-13,1,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.0,0.030024221960132325
fold_1,industry:专用设备,2014-01-13,1,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.0,0.030024221960132325
fold_1,industry:专用设备,2014-01-13,1,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.0,0.030024221960132325
fold_1,industry:专用设备,2014-01-13,3,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.0,0.046668953017303894
fold_1,industry:专用设备,2014-01-13,3,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.0,0.046668953017303894
fold_1,industry:专用设备,2014-01-13,3,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.0,0.046668953017303894
fold_1,industry:专用设备,2014-01-13,3,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.0,0.046668953017303894
fold_1,industry:专用设备,2014-01-13,5,fixed,0.03,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.013368862328313247,0.032676179881095946
fold_1,industry:专用设备,2014-01-13,5,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.013368862328313247,0.032676179881095946
fold_1,industry:专用设备,2014-01-13,5,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.013368862328313247,0.032676179881095946
fold_1,industry:专用设备,2014-01-13,5,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.013368862328313247,0.032676179881095946
fold_1,industry:专用设备,2014-01-13,10,fixed,0.03,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.013368862328313247,0.09126972506334363
fold_1,industry:专用设备,2014-01-13,10,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.013368862328313247,0.09126972506334363
fold_1,industry:专用设备,2014-01-13,10,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.013368862328313247,0.09126972506334363
fold_1,industry:专用设备,2014-01-13,10,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.013368862328313247,0.09126972506334363
fold_1,industry:专用设备,2014-01-13,20,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.02049477997238036,0.22111012690760035
fold_1,industry:专用设备,2014-01-13,20,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.02049477997238036,0.22111012690760035
fold_1,industry:专用设备,2014-01-13,20,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.02049477997238036,0.22111012690760035
fold_1,industry:专用设备,2014-01-13,20,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.030024221960132325,0.02049477997238036,0.22111012690760035
fold_1,industry:个护用品,2014-01-13,1,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0171618155116815,0.0,0.0171618155116815
fold_1,industry:个护用品,2014-01-13,1,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0171618155116815,0.0,0.0171618155116815
fold_1,industry:个护用品,2014-01-13,1,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0171618155116815,0.0,0.0171618155116815
fold_1,industry:个护用品,2014-01-13,1,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0171618155116815,0.0,0.0171618155116815
fold_1,industry:个护用品,2014-01-13,3,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.015541782934210158,0.0015926989715556727,0.021194149072990776
fold_1,industry:个护用品,2014-01-13,3,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.015541782934210158,0.0015926989715556727,0.021194149072990776
fold_1,industry:个护用品,2014-01-13,3,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.015541782934210158,0.0015926989715556727,0.021194149072990776
fold_1,industry:个护用品,2014-01-13,3,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.015541782934210158,0.0015926989715556727,0.021194149072990776
fold_1,industry:个护用品,2014-01-13,5,fixed,0.03,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.004219539014833407,0.016622314251963033,0.004219539014833407
fold_1,industry:个护用品,2014-01-13,5,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.004219539014833407,0.016622314251963033,0.004219539014833407
fold_1,industry:个护用品,2014-01-13,5,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.004219539014833407,0.016622314251963033,0.004219539014833407
fold_1,industry:个护用品,2014-01-13,5,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.004219539014833407,0.016622314251963033,0.004219539014833407
