fold_id,asof_mode,model_variant,entity_id,trade_date,feature_asof_date,horizon,threshold_type,threshold_value,target_usage,score,score_available,event_label,future_mae,future_mdd,future_return
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:厨卫电器,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.02158795166856893,True,False,0.028820305183011374,0.0,0.028820305183011374
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:商用车,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.0756447213034782,True,False,0.033809422044872806,0.0,0.033809422044872806
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:国有大型银行Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.8360483864284726,True,False,-0.0039930280419546715,0.0039930280419546715,-0.0039930280419546715
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:地面兵装Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.06868318520250545,True,False,0.04226809643101204,0.0,0.04226809643101204
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:城商行Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.9023700560762782,True,False,-0.004359167349227588,0.004359167349227588,-0.004359167349227588
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:基础建设,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.05724742867755447,True,False,0.014914211236426,0.0,0.014914211236426
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:塑料,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.07245175442010118,True,False,0.023599962961503795,0.0,0.023599962961503795
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:多元金融,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.11214506665913243,True,False,0.014272812892312192,0.0,0.014272812892312192
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:家居用品,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.02967672476753712,True,False,0.02507287895874466,0.0,0.02507287895874466
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:家电零部件Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.0933693971995361,True,False,0.024564275234044253,0.0,0.024564275234044253
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:小家电,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.11483090395176175,True,False,0.04712555396479612,0.0,0.04712555396479612
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:小金属,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.12256395962996239,True,False,0.004502467209555716,0.0,0.004502467209555716
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:工业金属,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.08209605255766586,True,False,0.010561671825783492,0.0,0.010561671825783492
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:工程咨询服务Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.016206631451628845,True,False,0.023606226824470333,0.0,0.023606226824470333
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:工程机械,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.04799874007828595,True,False,0.026999090933573333,0.0,0.026999090933573333
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:广告营销,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.21225222863904133,True,False,0.02765581960438457,0.0,0.02765581960438457
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:影视院线,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.15792607206921128,True,False,0.015861163201077888,0.0,0.015861163201077888
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:房地产开发,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.040445847308590493,True,False,0.01746956761359253,0.0,0.01746956761359253
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:房地产服务,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.1810534206828949,True,False,0.019643112258059814,0.0,0.019643112258059814
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:房屋建设Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.12468288712673811,True,False,0.011370184263120642,0.0,0.011370184263120642
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:摩托车及其他,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.10727673589196646,True,False,0.02069148730903514,0.0,0.02069148730903514
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:教育,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.14819777537578951,True,False,0.02069214627843241,0.0,0.02069214627843241
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:数字媒体,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.17336600151020326,True,False,0.02231632951931628,0.0,0.02231632951931628
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:文娱用品,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.2563764183640836,True,False,0.019681539695686645,0.0,0.019681539695686645
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:旅游及景区,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.40614797500105454,True,False,0.015713167856343357,0.0,0.015713167856343357
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:普钢,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.06457074452208368,True,False,0.013293804437086054,0.0,0.013293804437086054
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:服装家纺,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.02519877061285939,True,False,0.02066656088200669,0.0,0.02066656088200669
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:橡胶,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.044866601354562885,True,False,0.024199171465149494,0.0,0.024199171465149494
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:水泥,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.012495300543980526,True,False,0.01664289556354004,0.0,0.01664289556354004
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:汽车服务,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.017563695838009104,True,False,0.03536553298687095,0.0,0.03536553298687095
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:汽车零部件,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.04105297028750795,True,False,0.02590431333039378,0.0,0.02590431333039378
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:油服工程,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.27162231468649684,True,False,0.03963243132657812,0.0,0.03963243132657812
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:消费电子,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.10120437093939438,True,False,0.03512205938495416,0.0,0.03512205938495416
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:渔业,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.013257731907696498,True,False,0.025296102680860466,0.0,0.025296102680860466
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:游戏Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.23183384893979245,True,False,0.016684488201816672,0.0,0.016684488201816672
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:炼化及贸易,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.16751547755480165,True,False,0.016111242220960387,0.0,0.016111242220960387
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:焦炭Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.05281848890676984,True,False,-0.0025109625097793353,0.0025109625097793353,-0.0025109625097793353
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:煤炭开采,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.06669918297736036,True,False,0.0038709135183603305,0.0,0.0038709135183603305
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:照明设备Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.009201531052500591,True,False,0.04659891969696406,0.0,0.04659891969696406
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:燃气Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.021333304867579,True,False,0.017009704096220934,0.0,0.017009704096220934
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:物流,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.1082652033807992,True,False,0.01336284337508542,0.0,0.01336284337508542
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:特钢Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.1222097056260384,True,False,0.015075400024284757,0.0,0.015075400024284757
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:环保设备Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.1101293822525117,True,False,0.0320948774880474,0.0,0.0320948774880474
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:环境治理,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.12243560274643185,True,False,0.019012211007251922,0.0,0.019012211007251922
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:玻璃玻纤,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.10912025376585141,True,False,0.031270036615849595,0.0,0.031270036615849595
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:生物制品,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.3507118977946184,True,False,0.019514844256651287,0.0,0.019514844256651287
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:电力,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.07752321312957684,True,False,0.017887303264926047,0.0,0.017887303264926047
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:电子化学品Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.04605873719245174,True,False,0.02898231450781963,0.0,0.02898231450781963
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:电机Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.037288354790969556,True,False,0.018894739617369094,0.0,0.018894739617369094
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:电池,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.22012749885437263,True,False,0.022742692628793693,0.0,0.022742692628793693
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:电网设备,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.25801983084180435,True,False,0.01878756569654505,0.0,0.01878756569654505
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:电视广播Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.4243496739070783,True,False,0.02455265597239631,0.0,0.02455265597239631
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:白色家电,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.12862302322847088,True,False,0.032977797969795164,0.0,0.032977797969795164
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:白酒Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.09132591141526242,True,False,0.012501109769015084,0.0,0.012501109769015084
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:种植业,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.012802640634789194,True,False,0.02829625230498789,0.0,0.02829625230498789
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:纺织制造,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.07657909791583342,True,False,0.021168702909318826,0.0,0.021168702909318826
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:综合Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.07770683767585357,True,False,0.022992869860052556,0.0,0.022992869860052556
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:股份制银行Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.7513638981746995,True,False,0.000606054212201057,0.0,0.000606054212201057
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:能源金属,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.3021358855517055,True,False,0.005114578320047691,0.0,0.005114578320047691
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:自动化设备,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.04838848808058596,True,False,0.05738874148655215,0.0,0.05738874148655215
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:航天装备Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.07306178100643625,True,False,0.013284011242425287,0.0,0.013284011242425287
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:航海装备Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.014276595644081323,True,False,0.040701742857066625,0.0,0.040701742857066625
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:航空机场,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.27994679221647417,True,False,0.010568221467513794,0.0,0.010568221467513794
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:航空装备Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.07184403679663041,True,False,0.02197041888136364,0.0,0.02197041888136364
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:航运港口,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.026724752329893478,True,False,0.01879459225743063,0.0,0.01879459225743063
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:装修建材,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.07655184414746988,True,False,0.01957469433797443,0.0,0.01957469433797443
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:装修装饰Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.013003603353824762,True,False,0.0015040426196895051,0.0,0.0015040426196895051
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:计算机设备,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.08252252973689894,True,False,0.03639861770385844,0.0,0.03639861770385844
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:证券Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.0627213425650807,True,False,0.011625764781857839,0.0,0.011625764781857839
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:调味发酵品Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.287743044585248,True,False,0.020553415353439908,0.0,0.020553415353439908
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:贵金属,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.12379277846884439,True,False,0.004889600471686517,0.0,0.004889600471686517
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:贸易Ⅱ,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.032067313173779886,True,False,0.013624164122059579,0.0,0.013624164122059579
