horizon,threshold_type,threshold_value,target_usage,baseline_family,baseline_name,row_count,scored_row_count,positive_event_count,event_base_rate,score_available_rate,roc_auc,average_precision,brier_like_score_if_score_in_0_1,spearman_score_vs_event,spearman_score_vs_future_mae,spearman_score_vs_future_mdd,spearman_score_vs_future_return,quantile_lift_top_decile,quantile_lift_top_quintile,top_decile_future_mae_mean,top_decile_future_mdd_mean,monotonic_decile_event_rate_status
10,fixed,0.05,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,2196,2196,73,0.033242258652094715,1.0,0.5145180960001032,0.03174344799451889,0.17155565799383546,0.009255528137475112,0.03473257956221863,-0.1709546474492187,0.029259848684912347,0.6836861768368618,0.752054794520548,-0.005608648617434305,0.01955513154083666,non_monotonic
10,fixed,0.08,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,2196,2196,12,0.00546448087431694,1.0,0.44150641025641024,0.005028902329771164,0.03175892540170736,-0.01642395248909839,-0.10205188828488623,-0.15972464538782696,-0.046158687524178496,1.6636363636363636,1.2477272727272726,-0.006129538956349296,0.024014845271022024,insufficient_unique_scores
10,fixed,0.1,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,2196,2196,1,0.0004553734061930783,1.0,0.31685649202733485,0.0004608294930875576,0.009749210769041908,-0.016083071944975665,-0.11459545622017467,-0.13594291692402033,-0.015952792545445637,0.0,0.0,-0.012728456042162021,0.02331429237292154,insufficient_unique_scores
20,fixed,0.03,diagnostic_only,entity_empirical_event_rate,rolling_entity_slice_event_rate,2196,2196,463,0.21083788706739526,1.0,0.2764896638620901,0.1352553324465213,0.18532246453230217,-0.33498235931589604,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.40962104849793834,0.2910465344590615,-0.010544588758521531,0.03188547886386839,non_monotonic
20,fixed,0.05,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,2196,2196,242,0.11020036429872496,1.0,0.2120718678362672,0.06193204868378755,0.10244080477809116,-0.33127496065083106,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.12374154770848984,0.06187077385424492,-0.010544588758521531,0.03188547886386839,non_monotonic
20,fixed,0.08,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,2196,2196,84,0.03825136612021858,1.0,0.1946699134199134,0.020768951939284592,0.0418550679204127,-0.21517447365464637,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.0,0.0,-0.010544588758521531,0.03188547886386839,non_monotonic
20,fixed,0.1,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,2196,2196,36,0.01639344262295082,1.0,0.17993827160493828,0.009053538184689977,0.023327262627589506,-0.14932977839684014,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.0,0.0,-0.010544588758521531,0.03188547886386839,non_monotonic
1,fixed,0.03,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,17,0.007741347905282332,1.0,0.24942634235888023,0.005650699005379588,0.019666428111069712,-0.0761054201899822,-0.05654514894474261,0.021942413707114663,-0.05654514894474261,0.5871657754010695,0.29358288770053476,0.004343384110474241,0.0037103809788339077,non_monotonic
1,fixed,0.05,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,1,0.0004553734061930783,1.0,0.11321184510250569,0.0005173305742369374,0.013195827931134888,-0.028596805911131284,-0.05654514894474261,0.021942413707114663,-0.05654514894474261,0.0,0.0,0.004343384110474241,0.0037103809788339077,non_monotonic
1,fixed,0.08,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,0,0.0,1.0,,,0.01276841604988349,,-0.05654514894474261,0.021942413707114663,-0.05654514894474261,,,0.004343384110474241,0.0037103809788339077,insufficient_unique_scores
