asof_mode,model_variant,horizon,threshold_type,threshold_value,target_usage,calibration_method,calibration_row_count,evaluation_row_count,scored_row_count,positive_event_count,negative_event_count,event_base_rate,brier_score,brier_identity_uncalibrated,brier_calibrated,brier_retention,log_loss,expected_calibration_error,max_calibration_error,reliability_slope,reliability_intercept,roc_auc,average_precision,auc_retention_vs_identity,ap_retention_vs_identity,validation_market_event_block_count,monotonic_bin_status,calibration_fit_status,skip_reason,fold_count
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,isotonic_calibration,156113,157318,157318,2684,154634,0.01706098475698903,0.01701830569385198,0.09675192972524527,0.01701830569385198,0.0797336240313933,0.14948091427856697,0.016053642990984256,0.11809859789274749,0.8851356716023066,0.009720561982733116,0.6593864376102171,0.04530966102523603,1.026325108003917,1.0876519592876317,0,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,156113,157318,157318,1368,155950,0.008695762722638223,0.06995069442898416,0.06995069442898416,0.06995069442898416,0.0,0.25974286033191446,0.1873324839227682,0.7703110852930062,0.044932109007915104,0.0027236153496132194,0.6805334146240092,0.05508653825506859,1.0,1.0,0,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,platt_logistic_calibration,156113,157318,157318,1368,155950,0.008695762722638223,0.00871699532567014,0.06995069442898416,0.00871699532567014,0.06123369910331402,0.05754547506201178,0.011270486336371396,0.04886970250511086,4.870298038340122,-0.0018887383296059175,0.6699861470169677,0.05455907786597853,0.980734271895574,0.9724738326667549,0,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,isotonic_calibration,156113,157318,157318,1368,155950,0.008695762722638223,0.00865811842383164,0.06995069442898416,0.00865811842383164,0.06129257600515252,0.10515644519277359,0.008523493960647083,0.02274609587028724,0.8884850738562229,0.005508779393409721,0.6642868341177925,0.041631388418525976,0.9772096237063459,0.9909971750292671,0,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,identity_uncalibrated_reference,155989,157194,157194,40420,116774,0.2571344962275914,0.2236321801464256,0.2236321801464256,0.2236321801464256,0.0,0.6390186959370232,0.18687992429792916,0.3684740803864973,0.616816931115018,-0.027261142279133503,0.5645076019771518,0.3064888922800978,1.0,1.0,8,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,platt_logistic_calibration,155989,157194,157194,40420,116774,0.2571344962275914,0.19229968401728587,0.2236321801464256,0.19229968401728587,0.03133249612913975,0.5738396481655725,0.07612482644104901,0.215926088124165,1.6646720735707963,-0.2031192084795211,0.5739914325681079,0.31152527161926236,1.0209549976603596,1.0200236540688814,8,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,isotonic_calibration,155989,157194,157194,40420,116774,0.2571344962275914,0.19174777750721725,0.2236321801464256,0.19174777750721725,0.03188440263920837,0.5803909902780624,0.07304279119048443,0.31161400110845466,0.8670681871300534,0.028891207344585806,0.562061299809385,0.3082948109210024,0.9987249678492134,1.0076609841415631,8,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.05,eligible,identity_uncalibrated_reference,155989,157194,157194,18315,138879,0.11651208061376389,0.18802550504863919,0.18802550504863919,0.18802550504863919,0.0,0.5617906469973162,0.28173224655834816,0.479027586108747,0.35411636830620685,-0.031437322321595726,0.5934955535510206,0.1666520932503449,1.0,1.0,6,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.05,eligible,platt_logistic_calibration,155989,157194,157194,18315,138879,0.11651208061376389,0.10482551128849024,0.18802550504863919,0.10482551128849024,0.08319999376014893,0.3707019113644154,0.06010330185072386,0.22953718979582155,1.4164726084361885,-0.04627366875733106,0.6082764467595554,0.17061401629866835,1.0346891530902906,1.0393472530117573,6,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.05,eligible,isotonic_calibration,155989,157194,157194,18315,138879,0.11651208061376389,0.10464920031496365,0.18802550504863919,0.10464920031496365,0.08337630473367552,0.38260587908615507,0.055507136453860385,0.2361109187074764,0.7706534750611411,0.03172865323471405,0.5895367979920507,0.16180506895782426,0.9997146186741427,0.9816587141012029,6,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.08,eligible,identity_uncalibrated_reference,155989,157194,157194,6159,151035,0.03918088476659414,0.13289679737663077,0.13289679737663077,0.13289679737663077,0.0,0.4292087588794603,0.2694673778078318,0.6374343362515212,0.11534041548342695,0.005194895291215831,0.6209751576167054,0.07255285005660557,1.0,1.0,2,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.08,eligible,platt_logistic_calibration,155989,157194,157194,6159,151035,0.03918088476659414,0.038431401715396635,0.13289679737663077,0.038431401715396635,0.09446539566123412,0.1800564048013989,0.03458266374993445,0.1183318499471095,-0.597369284850603,0.04175346059623788,0.6374762123230061,0.07166120783315635,1.0599292546269197,1.059231086866712,2,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.08,eligible,isotonic_calibration,155989,157194,157194,6159,151035,0.03918088476659414,0.03836631406663897,0.13289679737663077,0.03836631406663897,0.09453048330999178,0.19539392361735253,0.03014707233319014,0.1740087788288135,0.8000951375874639,0.018958503399820886,0.6282524815942687,0.06954777499925079,1.0310238756109378,1.0151687740052302,2,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.1,eligible,identity_uncalibrated_reference,155989,157194,157194,3305,153889,0.02102497550797104,0.10372964424492168,0.10372964424492168,0.10372964424492168,0.0,0.35166308938116875,0.23391333104085438,0.739281435459225,0.062255151851300525,0.00700967124878737,0.6583506486062284,0.04960287910456121,1.0,1.0,0,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.1,eligible,platt_logistic_calibration,155989,157194,157194,3305,153889,0.02102497550797104,0.02102919363832729,0.10372964424492168,0.02102919363832729,0.08270045060659441,0.11691830775045224,0.023384903013618428,0.09751118538131154,1.2034643690607472,-0.00382054587381905,0.6711004559356756,0.04874793150585323,1.0478080479924385,1.041483713638037,0,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.1,eligible,isotonic_calibration,155989,157194,157194,3305,153889,0.02102497550797104,0.020852017866547622,0.10372964424492168,0.020852017866547622,0.08287762637837408,0.17337936259831202,0.01889365272085749,0.07092936819363707,0.8651070152675311,0.011245768618758452,0.6585739566057929,0.04537935546996287,1.017243072543603,1.0411763370364302,0,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.03,eligible,identity_uncalibrated_reference,155741,156822,156822,63952,92870,0.4077999260307865,0.24233591508644342,0.24233591508644342,0.24233591508644342,0.0,0.6778422070415002,0.07898640852277702,0.35658007086954113,0.6143332094351116,0.11492063321060919,0.5423763617651668,0.4453275104591275,1.0,1.0,2,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.03,eligible,platt_logistic_calibration,155741,156822,156822,63952,92870,0.4077999260307865,0.24705757669002243,0.24233591508644342,0.24705757669002243,-0.0047216616035789805,0.6883344279231898,0.09730483265760828,0.2775044407595357,2.5488783171219014,-0.7156728636636831,0.5430235492012786,0.4440080931453233,1.0083835642528665,0.9966102917122257,2,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.03,eligible,isotonic_calibration,155741,156822,156822,63952,92870,0.4077999260307865,0.24686843476683276,0.24233591508644342,0.24686843476683276,-0.004532519680389332,0.6955338577012034,0.09294407020066124,0.30846350260016336,0.7924878555394802,0.0911363055775718,0.5388964125179064,0.4399145054638409,0.9979685031230465,0.9897997663065636,2,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.05,eligible,identity_uncalibrated_reference,155741,156822,156822,37516,119306,0.23922663911951128,0.21940774985854014,0.21940774985854014,0.21940774985854014,0.0,0.6293785060986894,0.19059030828503015,0.3868594533499268,0.5060303058181779,0.01704255513002729,0.5620733948458446,0.28513839103949296,1.0,1.0,4,mixed_or_non_monotonic,aggregate,,10
