fold_id,asof_mode,model_variant,horizon,threshold_type,threshold_value,target_usage,calibration_method,cluster_type,metric_name,cluster_count,min_cluster_size,max_cluster_size,clustered_metric_mean,clustered_metric_std,bootstrap_or_cluster_se_rows,confidence_interval_low,confidence_interval_high,uncertainty_status
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,isotonic_calibration,fold_id,brier_loss,1,15710,15710,0.0004445205756989559,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,isotonic_calibration,slice_key,brier_loss,1,15710,15710,0.0004445205756989559,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,entity_id,brier_loss,124,89,127,0.14012187872498877,0.028079141956196135,0.002521581385847647,0.1351795792087274,0.14506417824125015,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,trade_date,brier_loss,127,123,124,0.13992091210352994,0.09798562452786076,0.008694818175400047,0.12287906847974585,0.15696275572731402,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,fold_id,brier_loss,1,15710,15710,0.13991544979841614,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,slice_key,brier_loss,1,15710,15710,0.13991544979841614,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,platt_logistic_calibration,entity_id,brier_loss,124,89,127,0.10478835476969221,0.028013514305178414,0.0025156878488064743,0.09985760658603152,0.10971910295335291,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,platt_logistic_calibration,trade_date,brier_loss,127,123,124,0.10446578103868233,0.15431547915811764,0.013693284493462233,0.07762694343149636,0.13130461864586832,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,platt_logistic_calibration,fold_id,brier_loss,1,15710,15710,0.1044987770298071,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,platt_logistic_calibration,slice_key,brier_loss,1,15710,15710,0.1044987770298071,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,isotonic_calibration,entity_id,brier_loss,124,89,127,0.10289867361421207,0.02971960291661265,0.002668899128977018,0.0976676313214171,0.10812971590700703,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,isotonic_calibration,trade_date,brier_loss,127,123,124,0.1025533054783061,0.1635983039874054,0.014517001997266035,0.07409998156366468,0.13100662939294752,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,isotonic_calibration,fold_id,brier_loss,1,15710,15710,0.10258924649323588,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,isotonic_calibration,slice_key,brier_loss,1,15710,15710,0.10258924649323588,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,identity_uncalibrated_reference,entity_id,brier_loss,124,89,127,0.06434783903783636,0.027371479396964434,0.002458031412005722,0.059530097470305146,0.06916558060536758,pass
