fold_id,asof_mode,model_variant,entity_id,trade_date,horizon,threshold_type,threshold_value,target_usage,calibration_method,calibration_protocol,row_role,raw_score,calibrated_score,event_label,future_mae,future_mdd,future_return
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:基础建设,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.053249633277082375,0.053249633277082375,False,-0.016163345978267074,0.016163345978267074,-0.016163345978267074
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:塑料,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.2194646284509035,0.2194646284509035,False,-0.009845679868519808,0.009845679868519808,-0.009845679868519808
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:多元金融,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.22773583396766742,0.22773583396766742,False,0.0004434077523176594,0.0,0.0004434077523176594
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:家居用品,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.0898079852965359,0.0898079852965359,False,-0.0029736681320839953,0.0029736681320839953,-0.0029736681320839953
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:家电零部件Ⅱ,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.2266394994449016,0.2266394994449016,False,-0.005394870082412129,0.005394870082412129,-0.005394870082412129
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:小家电,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.15821735770663,0.15821735770663,False,-0.007348177727055538,0.007348177727055538,-0.007348177727055538
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:小金属,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.11808462171863364,0.11808462171863364,False,-0.019682307288792278,0.019682307288792278,-0.019682307288792278
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:工业金属,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.12723762128353003,0.12723762128353003,False,-0.01566006052944613,0.01566006052944613,-0.01566006052944613
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:工程咨询服务Ⅱ,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.014966042929091792,0.014966042929091792,False,-0.021135920132332453,0.021135920132332453,-0.021135920132332453
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:工程机械,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.1555817773956148,0.1555817773956148,False,-0.010792455484252228,0.010792455484252228,-0.010792455484252228
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:广告营销,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.5103128737081093,0.5103128737081093,False,0.01578311574676916,0.0,0.01578311574676916
