slice_id,entity_id,decision_trade_date,apply_trade_date,realized_open_to_open_return,baseline_score,model_score,baseline_bucket,model_bucket,arm_no_downshift_exposure,arm_baseline_driven_exposure,arm_model_driven_exposure
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:房地产服务,2016-07-12,2016-07-13,0.017950316260463728,0.020492876115477867,0.22298221614227087,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:房屋建设Ⅱ,2016-07-12,2016-07-13,0.018579276425870095,0.017713969887643333,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:摩托车及其他,2016-07-12,2016-07-13,0.007952159056786146,0.022999435417762008,0.22298221614227087,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:教育,2016-07-12,2016-07-13,0.004010912734486949,0.02327017643269333,0.23373759647188533,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:数字媒体,2016-07-12,2016-07-13,0.031548262548545924,0.02513587072745933,0.22298221614227087,extreme,low,1.0,0.5,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:文娱用品,2016-07-12,2016-07-13,0.014432539011679069,0.017164729874109576,0.25388838060384267,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:旅游及景区,2016-07-12,2016-07-13,0.011472911088094007,0.018018190769398274,0.1686746987951807,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:普钢,2016-07-12,2016-07-13,0.004346165415409331,0.01595447796665206,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:服装家纺,2016-07-12,2016-07-13,0.013247102734248895,0.01828169328430147,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:橡胶,2016-07-12,2016-07-13,-0.018196500246443037,0.024997194666370418,0.25388838060384267,extreme,low,1.0,0.5,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:水泥,2016-07-12,2016-07-13,0.00810521670098252,0.01915309761518028,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:汽车服务,2016-07-12,2016-07-13,0.006742024841211336,0.018359209920436485,0.23373759647188533,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:汽车零部件,2016-07-12,2016-07-13,0.005389184418143067,0.019229303947820298,0.25388838060384267,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:油服工程,2016-07-12,2016-07-13,-0.015486113804354162,0.019875403430209295,0.22298221614227087,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:消费电子,2016-07-12,2016-07-13,0.042951986265411524,0.02131676707628976,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:渔业,2016-07-12,2016-07-13,0.0032182702852265876,0.02077208451884004,0.22298221614227087,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:游戏Ⅱ,2016-07-12,2016-07-13,0.030042632061913155,0.02360088042419284,0.25388838060384267,high,low,1.0,0.75,1.0
