slice_id,asof_mode,horizon,threshold_type,threshold_value,target_usage,calibration_method,baseline_name,arm,daily_return_count,entity_day_count,mean_exposure,max_drawdown,cvar_95,realized_volatility,total_return,missed_upside_cost,turnover,arm_pair,metric,delta,confidence_interval_low,confidence_interval_high,bootstrap_iterations,ci_status
close_t:h10:fixed:0.0800:eligible:isotonic_calibration,close_t,10,fixed,0.08,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_model_driven,1265.0,156822.0,0.9042692256260826,0.28730572076664473,0.031770885775906414,0.013204919617540594,0.8736876880311837,0.8484430531085414,0.005642780403151112,,,,,,,
close_t:h10:fixed:0.0800:eligible:platt_logistic_calibration,close_t,10,fixed,0.08,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_no_downshift,1265.0,156822.0,1.0,0.2972699261613555,0.03514266042186705,0.01466857886132111,1.1078528715907634,,0.0,,,,,,,
close_t:h10:fixed:0.0800:eligible:platt_logistic_calibration,close_t,10,fixed,0.08,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_baseline_driven,1265.0,156822.0,0.9125139811897929,0.24543800115949488,0.030524925906065675,0.012243919314628426,0.46483398425324496,1.1196677959704218,0.011854963719221715,,,,,,,
close_t:h10:fixed:0.0800:eligible:platt_logistic_calibration,close_t,10,fixed,0.08,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_model_driven,1265.0,156822.0,0.9124949465579063,0.28689011811874665,0.032218141623556205,0.01337043063506717,0.8798434003428925,0.7423607895252389,0.00582502979480591,,,,,,,
close_t:h10:fixed:0.1000:eligible:platt_logistic_calibration,close_t,10,fixed,0.1,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_no_downshift,1265.0,156822.0,1.0,0.2972699261613555,0.03514266042186705,0.01466857886132111,1.1078528715907634,,0.0,,,,,,,
close_t:h10:fixed:0.1000:eligible:platt_logistic_calibration,close_t,10,fixed,0.1,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_baseline_driven,1265.0,156822.0,0.9125139811897929,0.24543800115949488,0.030524925906065675,0.012243919314628426,0.46483398425324496,1.1196677959704218,0.011854963719221715,,,,,,,
close_t:h10:fixed:0.1000:eligible:platt_logistic_calibration,close_t,10,fixed,0.1,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_model_driven,1265.0,156822.0,0.9124761581193525,0.29264432610047186,0.032238548944595866,0.013402077876013552,0.8669560796525382,0.7355748765242132,0.005577720975377373,,,,,,,
close_t:h10:fixed:0.1000:eligible:isotonic_calibration,close_t,10,fixed,0.1,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_no_downshift,1265.0,156822.0,1.0,0.2972699261613555,0.03514266042186705,0.01466857886132111,1.1078528715907634,,0.0,,,,,,,
close_t:h10:fixed:0.1000:eligible:isotonic_calibration,close_t,10,fixed,0.1,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_baseline_driven,1265.0,156822.0,0.9125139811897929,0.24543800115949488,0.030524925906065675,0.012243919314628426,0.46483398425324496,1.1196677959704218,0.011854963719221715,,,,,,,
close_t:h10:fixed:0.1000:eligible:isotonic_calibration,close_t,10,fixed,0.1,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_model_driven,1265.0,156822.0,0.9037216916539943,0.28622810499457774,0.03177006648587315,0.01315184601331825,0.8129004824095165,0.8767199358782298,0.005931936297211073,,,,,,,
close_t:h20:fixed:0.1000:eligible:isotonic_calibration,close_t,20,fixed,0.1,eligible,isotonic_calibration,rolling_close_to_close_vol_60,arm_no_downshift,1260.0,156202.0,1.0,0.2972699261613555,0.03532397951155249,0.014664584383505125,1.2005439271078422,,0.0,,,,,,,
close_t:h20:fixed:0.1000:eligible:isotonic_calibration,close_t,20,fixed,0.1,eligible,isotonic_calibration,rolling_close_to_close_vol_60,arm_baseline_driven,1260.0,156202.0,0.9125051385402486,0.28359501877224436,0.031247403342488524,0.01282654359496122,0.8659504430005427,0.9208530996597765,0.0040887227487919646,,,,,,,
close_t:h20:fixed:0.1000:eligible:isotonic_calibration,close_t,20,fixed,0.1,eligible,isotonic_calibration,rolling_close_to_close_vol_60,arm_model_driven,1260.0,156202.0,0.9046747577210796,0.2953183632477643,0.03218287097762412,0.013393820616218176,1.0053348114110774,0.7764286962225896,0.004074987392114307,,,,,,,
close_t:h20:fixed:0.1000:eligible:platt_logistic_calibration,close_t,20,fixed,0.1,eligible,platt_logistic_calibration,rolling_close_to_close_vol_60,arm_no_downshift,1260.0,156202.0,1.0,0.2972699261613555,0.03532397951155249,0.014664584383505125,1.2005439271078422,,0.0,,,,,,,
close_t:h20:fixed:0.1000:eligible:platt_logistic_calibration,close_t,20,fixed,0.1,eligible,platt_logistic_calibration,rolling_close_to_close_vol_60,arm_baseline_driven,1260.0,156202.0,0.9125051385402486,0.28359501877224436,0.031247403342488524,0.01282654359496122,0.8659504430005427,0.9208530996597765,0.0040887227487919646,,,,,,,
close_t:h20:fixed:0.1000:eligible:platt_logistic_calibration,close_t,20,fixed,0.1,eligible,platt_logistic_calibration,rolling_close_to_close_vol_60,arm_model_driven,1260.0,156202.0,0.912491440102573,0.2930926301438106,0.03244632250725676,0.013445592042503235,0.9781017951390516,0.7180709469737443,0.005655399664247994,,,,,,,
close_t_minus_1:h5:fixed:0.0300:eligible:isotonic_calibration,close_t_minus_1,5,fixed,0.03,eligible,isotonic_calibration,rolling_close_to_close_vol_60,arm_no_downshift,1268.0,157194.0,1.0,0.2972699261613555,0.03514266042186705,0.01465981223999806,1.0909387724660857,,0.0,,,,,,,
close_t_minus_1:h5:fixed:0.0300:eligible:isotonic_calibration,close_t_minus_1,5,fixed,0.03,eligible,isotonic_calibration,rolling_close_to_close_vol_60,arm_baseline_driven,1268.0,157194.0,0.9125048682657122,0.28611401674896497,0.031109372286531684,0.012879095839269605,0.8129608207147767,0.9074930046986979,0.004080487535786576,,,,,,,
close_t_minus_1:h5:fixed:0.0300:eligible:isotonic_calibration,close_t_minus_1,5,fixed,0.03,eligible,isotonic_calibration,rolling_close_to_close_vol_60,arm_model_driven,1268.0,157194.0,0.8970301045485269,0.2665359483265959,0.030045265313568922,0.012669012739997822,0.8976678697473857,0.9997113289353421,0.0048483814458533106,,,,,,,
close_t_minus_1:h5:fixed:0.0300:eligible:platt_logistic_calibration,close_t_minus_1,5,fixed,0.03,eligible,platt_logistic_calibration,rolling_close_to_close_vol_60,arm_no_downshift,1268.0,157194.0,1.0,0.2972699261613555,0.03514266042186705,0.01465981223999806,1.0909387724660857,,0.0,,,,,,,
close_t_minus_1:h5:fixed:0.0300:eligible:platt_logistic_calibration,close_t_minus_1,5,fixed,0.03,eligible,platt_logistic_calibration,rolling_close_to_close_vol_60,arm_baseline_driven,1268.0,157194.0,0.9125048682657122,0.28611401674896497,0.031109372286531684,0.012879095839269605,0.8129608207147767,0.9074930046986979,0.004080487535786576,,,,,,,
close_t_minus_1:h5:fixed:0.0300:eligible:platt_logistic_calibration,close_t_minus_1,5,fixed,0.03,eligible,platt_logistic_calibration,rolling_close_to_close_vol_60,arm_model_driven,1268.0,157194.0,0.9125157397778312,0.2740324532610581,0.030555279541559656,0.012925548505956156,0.9322427096316295,0.8587065156793185,0.006598601531627251,,,,,,,
close_t_minus_1:h5:fixed:0.0500:eligible:isotonic_calibration,close_t_minus_1,5,fixed,0.05,eligible,isotonic_calibration,rolling_close_to_close_vol_20,arm_no_downshift,1268.0,157194.0,1.0,0.2972699261613555,0.03514266042186705,0.01465981223999806,1.0909387724660857,,0.0,,,,,,,
