fold_id,asof_mode,model_variant,horizon,threshold_type,threshold_value,target_usage,calibration_method,calibration_protocol,calibration_row_count,evaluation_row_count,scored_row_count,positive_event_count,negative_event_count,event_base_rate,brier_score,brier_identity_uncalibrated,brier_calibrated,brier_retention,log_loss,expected_calibration_error,max_calibration_error,reliability_slope,reliability_intercept,roc_auc,average_precision,auc_retention_vs_identity,ap_retention_vs_identity,validation_market_event_block_count,monotonic_bin_status,calibration_fit_status,skip_reason
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,platt_logistic_calibration,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,257,15491,0.016319532639065278,0.01616072834285216,0.14157103049688333,0.01616072834285216,0.12541030215403118,0.09142845970393632,0.012504802559299404,0.012504802559299404,5.679414490066548,-0.0053459006516497634,0.6650722510648206,0.044815579347935924,1.0,1.0,1,insufficient_non_empty_bins,fitted,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,isotonic_calibration,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,257,15491,0.016319532639065278,0.016104515578737207,0.14157103049688333,0.016104515578737207,0.12546651491814612,0.09099147523348605,0.01189649478895353,0.01189649478895353,2.5250539136464893,0.005151123605434077,0.6652585020497656,0.054776577789759404,1.000280046242565,1.222266421337299,1,insufficient_non_empty_bins,fitted,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,72,15676,0.004572009144018288,0.10265837231040678,0.10265837231040678,0.10265837231040678,0.0,0.3621481913131691,0.2775566781450888,0.7931852875038465,0.043297235680113504,-0.007643383121659203,0.7970189745116385,0.0386772033954568,1.0,1.0,0,non_monotonic,identity,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,platt_logistic_calibration,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,72,15676,0.004572009144018288,0.0045636713270772525,0.10265837231040678,0.0045636713270772525,0.09809470098332954,0.03266472799673917,0.0039024516683426116,0.0039024516683426116,39.5915507405075,-0.021936809627881346,0.7970189745116385,0.0386772033954568,1.0,1.0,0,insufficient_non_empty_bins,fitted,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,isotonic_calibration,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,72,15676,0.004572009144018288,0.004548032193714842,0.10265837231040678,0.004548032193714842,0.09811034011669194,0.05033922854287277,0.003719756209930816,0.003719756209930816,2.987667254427691,0.0020257609603549793,0.7462265387995803,0.05834302423868744,0.9362719868204136,1.5084602586737352,0,insufficient_non_empty_bins,fitted,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,4875,10873,0.30956311912623824,0.2452759426614306,0.2452759426614306,0.2452759426614306,0.0,0.6836031037796535,0.1943065081597088,0.2012394151358316,1.0337010439529084,-0.21128744061540783,0.6029879706730622,0.39291494579250524,1.0,1.0,10,pass,identity,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,platt_logistic_calibration,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,4875,10873,0.30956311912623824,0.22103013760047252,0.2452759426614306,0.22103013760047252,0.02424580506095808,0.6407739903157661,0.11298874659585273,0.15272602782189482,1.4495796383744701,0.024612911279953322,0.6029879706730622,0.39291494579250524,1.0,1.0,10,pass,fitted,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,isotonic_calibration,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,4875,10873,0.30956311912623824,0.22076794046013024,0.2452759426614306,0.22076794046013024,0.024508002201300366,0.6415588127194584,0.11278095867399397,0.13459029880046608,1.1745291112703176,0.07843674309641249,0.5986008249085597,0.38801106335255914,0.9927243229087879,0.987519226508284,10,pass,fitted,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.05,eligible,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,2526,13222,0.1604013208026416,0.2359953387531227,0.2359953387531227,0.2359953387531227,0.0,0.6646733469033244,0.3180270790781495,0.5581844218183346,0.4906632077130141,-0.07434589254387193,0.5919378712486795,0.21716442428867877,1.0,1.0,6,non_monotonic,identity,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.05,eligible,platt_logistic_calibration,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,2526,13222,0.1604013208026416,0.14149573433695614,0.2359953387531227,0.14149573433695614,0.09449960441616656,0.4850662941694787,0.09362082691975805,0.13527229555657813,1.5546245314233575,0.05658272679174341,0.5919378712486795,0.21716442428867877,1.0,1.0,6,pass,fitted,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.05,eligible,isotonic_calibration,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,2526,13222,0.1604013208026416,0.14137905394258163,0.2359953387531227,0.14137905394258163,0.09461628481054107,0.5054853063407112,0.09334092895614449,0.6666666666666667,1.1572982365083293,0.08279244757913283,0.5874971091751517,0.21545215984713179,0.9924979253917983,0.9921153547725162,6,pass,fitted,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.08,eligible,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,697,15051,0.04425958851917704,0.19134547026221355,0.19134547026221355,0.19134547026221355,0.0,0.5702200726583581,0.3705449813331197,0.7335562385199049,0.16195039810495926,-0.022918176704158803,0.6263756313183669,0.08123086193201334,1.0,1.0,4,non_monotonic,identity,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.08,eligible,platt_logistic_calibration,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,697,15051,0.04425958851917704,0.042866833219209824,0.19134547026221355,0.042866833219209824,0.14847863704300374,0.19665233969273044,0.029792460356317628,0.029792460356317628,2.3843249145201737,0.009765254398914838,0.6263756313183669,0.08123086193201334,1.0,1.0,4,insufficient_non_empty_bins,fitted,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.08,eligible,isotonic_calibration,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,697,15051,0.04425958851917704,0.04265392294341063,0.19134547026221355,0.04265392294341063,0.1486915473188029,0.1996410847570922,0.029284582646949154,0.6174347797564002,1.5646951015022268,0.020580838440956862,0.6292371598926157,0.0871735620906586,1.0045683906448053,1.0731581571006723,4,pass,fitted,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.1,eligible,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,227,15521,0.014414528829057659,0.1570034556897879,0.1570034556897879,0.1570034556897879,0.0,0.49303875768147565,0.3530504159587612,0.7808097534789735,0.08342611973250479,-0.01624164565230917,0.7046354988140269,0.05965254220462124,1.0,1.0,0,non_monotonic,identity,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.1,eligible,platt_logistic_calibration,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,227,15521,0.014414528829057659,0.0142454298424876,0.1570034556897879,0.0142454298424876,0.1427580258473003,0.07924800855358506,0.010408747561576233,0.010408747561576233,5.275483950169336,-0.006717905955429595,0.7046354988140269,0.05965254220462124,1.0,1.0,0,insufficient_non_empty_bins,fitted,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.1,eligible,isotonic_calibration,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,227,15521,0.014414528829057659,0.014020648075289258,0.1570034556897879,0.014020648075289258,0.14298280761449866,0.1041776091220839,0.009825487682241547,0.7033763258033414,1.3107686609897524,0.0083374651144656,0.6942793435751534,0.07671782586753066,0.9853028193210477,1.2860780619268795,0,non_monotonic,fitted,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.03,eligible,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,7351,8397,0.46678943357886715,0.24500200110114953,0.24500200110114953,0.24500200110114953,0.0,0.6830339761697064,0.04654916287578927,0.29781013130742934,1.217634438974983,-0.15826932031940322,0.5884852865179273,0.5404783401984808,1.0,1.0,3,non_monotonic,identity,
fold_6,close_t,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.03,eligible,platt_logistic_calibration,validation_time_ordered_calibration_then_evaluation,15624,15748,15748,7351,8397,0.46678943357886715,0.2641434781524945,0.24500200110114953,0.2641434781524945,-0.019141477051344974,0.7239867345697452,0.14288317084465238,0.20775511685751114,1.661484653789883,-0.07137585122046446,0.5884852865179273,0.5404783401984808,1.0,1.0,3,pass,fitted,
